Order_Date,Product,Category,Region,Quantity,Sales,Cost,Profit
2025-01-01 00:00:00.000000000,Tablet,Office Equipment,South,2,100860,73340.31,27519.69
2025-01-01 17:30:25.250501002,Mouse,Electronics,North,1,33481,23564.9,9916.1
2025-01-02 11:00:50.501002004,Headphones,Electronics,West,3,209394,122910.64,86483.36
2025-01-03 04:31:15.751503006,Tablet,Office Equipment,West,6,280002,216802.53,63199.47
2025-01-03 22:01:41.002004008,Keyboard,Electronics,West,8,606432,379391.96,227040.04
2025-01-04 15:32:06.252505010,Webcam,Office Equipment,North,9,395172,303039.93,92132.07
2025-01-05 09:02:31.503006012,Headphones,Accessories,South,7,279993,217714.26,62278.74
2025-01-06 02:32:56.753507014,Headphones,Electronics,South,4,211076,127322.88,83753.12
2025-01-06 20:03:22.004008016,Tablet,Accessories,North,6,234354,133926.84,100427.16
2025-01-07 13:33:47.254509018,Monitor,Office Equipment,South,5,374095,307979.9,66115.1
2025-01-08 07:04:12.505010020,Keyboard,Accessories,North,8,394296,280316.91,113979.09
2025-01-09 00:34:37.755511022,Tablet,Accessories,South,1,35988,20526.02,15461.98
2025-01-09 18:05:03.006012024,Keyboard,Office Equipment,East,1,74941,67312.25,7628.75
2025-01-10 11:35:28.256513026,Keyboard,Accessories,East,6,450978,257158.12,193819.88
2025-01-11 05:05:53.507014028,Webcam,Accessories,West,2,45862,36380.6,9481.4
2025-01-11 22:36:18.757515030,Headphones,Office Equipment,East,5,310905,278038.49,32866.51
2025-01-12 16:06:44.008016032,Mouse,Accessories,East,1,63983,40546.86,23436.14
2025-01-13 09:37:09.258517034,Webcam,Office Equipment,East,7,347571,208468.66,139102.34
2025-01-14 03:07:34.509018036,Webcam,Accessories,North,1,6868,4069.19,2798.81
2025-01-14 20:37:59.759519038,Keyboard,Office Equipment,East,4,111696,73288.92,38407.08
2025-01-15 14:08:25.010020040,Printer,Office Equipment,East,9,409536,239728.46,169807.54
2025-01-16 07:38:50.260521042,Headphones,Accessories,West,1,57485,45542.86,11942.14
2025-01-17 01:09:15.511022044,Monitor,Accessories,East,4,202276,115661.85,86614.15
2025-01-17 18:39:40.761523046,Webcam,Accessories,East,6,316956,230838.34,86117.66
2025-01-18 12:10:06.012024048,Mouse,Electronics,South,6,143388,128883.43,14504.57
2025-01-19 05:40:31.262525050,Printer,Electronics,West,8,410888,343046.12,67841.88
2025-01-19 23:10:56.513026052,Printer,Electronics,West,1,76397,58468.67,17928.33
2025-01-20 16:41:21.763527054,Monitor,Office Equipment,West,7,483539,317776.4,165762.6
2025-01-21 10:11:47.014028056,Webcam,Accessories,West,1,66141,50820.33,15320.67
2025-01-22 03:42:12.264529058,Mouse,Office Equipment,West,7,67046,49242.91,17803.09
2025-01-22 21:12:37.515030060,Headphones,Electronics,West,3,76509,53489.67,23019.33
2025-01-23 14:43:02.765531062,Laptop,Accessories,North,8,506144,301534.6,204609.4
2025-01-24 08:13:28.016032064,Mouse,Office Equipment,East,3,154641,133039.43,21601.57
2025-01-25 01:43:53.266533066,Monitor,Accessories,West,1,72126,51023.71,21102.29
2025-01-25 19:14:18.517034068,Printer,Office Equipment,East,8,465280,287597.89,177682.11
2025-01-26 12:44:43.767535070,Headphones,Accessories,East,3,150858,102389.7,48468.3
2025-01-27 06:15:09.018036072,Mouse,Electronics,North,2,4850,3370.49,1479.51
2025-01-27 23:45:34.268537074,Laptop,Electronics,West,1,26515,22263.01,4251.99
2025-01-28 17:15:59.519038076,Laptop,Accessories,South,3,101460,81854.38,19605.62
2025-01-29 10:46:24.769539078,Keyboard,Office Equipment,North,2,130762,107127.65,23634.35
2025-01-30 04:16:50.020040080,Keyboard,Electronics,South,2,53578,29674.76,23903.24
2025-01-30 21:47:15.270541082,Tablet,Electronics,East,6,23334,16232.39,7101.61
2025-01-31 15:17:40.521042084,Monitor,Electronics,East,1,26183,18811.71,7371.29
2025-02-01 08:48:05.771543086,Webcam,Accessories,North,2,28258,15731.72,12526.28
2025-02-02 02:18:31.022044088,Mouse,Accessories,North,6,372300,238619.96,133680.04
2025-02-02 19:48:56.272545090,Mouse,Office Equipment,South,3,75978,62005.76,13972.24
2025-02-03 13:19:21.523046092,Webcam,Office Equipment,West,4,108520,64893.7,43626.3
2025-02-04 06:49:46.773547094,Tablet,Office Equipment,South,1,46663,34407.36,12255.64
2025-02-05 00:20:12.024048096,Printer,Accessories,North,8,535480,334846.7,200633.3
2025-02-05 17:50:37.274549098,Printer,Accessories,South,7,85071,47149.94,37921.06
2025-02-06 11:21:02.525050100,Tablet,Office Equipment,North,7,199227,126393.69,72833.31
